Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
"BI.PWK.AGES.PB.CA.MD",,"Median age of public paid employees, by industry: Core Public Administration",,"Median age of public paid employees working in core public administration","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.CA.SM",,"Mean age of public paid employees, by industry: Core Public Administration",,"Mean age of public paid employees working in core public administration","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.ED.MD",,"Median age of public paid employees, by industry: Education",,"Median age of public paid employees working in education","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.ED.SM",,"Mean age of public paid employees, by industry: Education",,"Mean age of public paid employees working in education","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.HE.MD",,"Median age of public paid employees, by industry: Health",,"Median age of public paid employees working in healthcare","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.HE.SM",,"Mean age of public paid employees, by industry: Health",,"Mean age of public paid employees working in healtchare","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.MD",,"Median age of public paid employees",,"Median age of public paid employees","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.MW.MD",,"Median age of public paid employees, by occupation: Medical workers",,"Median age of public paid medical workers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.MW.SM",,"Mean age of public paid employees, by occupation: Medical workers",,"Mean age of public paid medical workers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.PA.MD",,"Median age of public paid employees, by industry: Public Administration",,"Median age of public paid employees working in public administration","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.PA.SM",,"Mean age of public paid employees, by industry: Public Administration",,"Mean age of public paid employees working in public administration","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.PS.MD",,"Median age of public paid employees, by industry: Public Safety",,"Median age of public paid employees working in public safety","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.PS.SM",,"Mean age of public paid employees, by industry: Public Safety",,"Mean age of public paid employees working in public safety","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.SM",,"Mean age of public paid employees",,"Mean age of public paid employees","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.SS.MD",,"Median age of public paid employees, by industry: Social Security",,"Median age of public paid employees working in social security","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.SS.SM",,"Mean age of public paid employees, by industry: Social Security",,"Mean age of public paid employees working in social security","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.TS.MD",,"Median age of public paid employees, by occupation: Teachers",,"Median age of public paid teachers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PB.TS.SM",,"Mean age of public paid employees, by occupation: Teachers",,"Mean age of public paid teachers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.ED.MD",,"Median age of private paid employees, by industry: Education",,"Median age of private paid employees working in education","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.ED.SM",,"Mean age of private paid employees, by industry: Education",,"Mean age of private paid employees working in education","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.HE.MD",,"Median age of private paid employees, by industry: Health",,"Median age of private paid employees working in healthcare","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.HE.SM",,"Mean age of private paid employees, by industry: Health",,"Mean age of private paid employees working in healthcare","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.MD",,"Median age of private paid employees",,"Median age of private paid employees","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.MW.MD",,"Median age of private paid employees, by occupation: Medical workers",,"Median age of private paid medical workers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.MW.SM",,"Mean age of private paid employees, by occupation: Medical workers",,"Mean age of private paid medical workers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.SM",,"Mean age of private paid employees",,"Mean age of private paid workers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.TS.MD",,"Median age of private paid employees, by occupation: Teachers",,"Median age of private paid teachers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.AGES.PV.TS.SM",,"Mean age of private paid employees, by occupation: Teachers",,"Mean age of private paid teachers","Age",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.CMPA.GE.MD",,"Cross-country public sector pay comparison ratio, by occupation: Government economist (using median)",,"Ratio of the wages of government economist within the reference country to the global median for the same category.","Numeric value",,,,,,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.CMPA.GE.SM",,"Cross-country public sector pay comparison ratio, by occupation: Government economist (using mean)",,"Ratio of the wages of government economist within the reference country to the global mean for the same category.","Numeric value",,,,,,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.CMPA.HD.MD",,"Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using median)",,"Ratio of the wages of hospital doctor within the reference country to the global median for the same category.","Numeric value",,,,,,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.CMPA.HD.SM",,"Cross-country public sector pay comparison ratio, by occupation: Hospital doctor (using mean)",,"Ratio of the wages of hospital doctor within the reference country to the global mean for the same category.","Numeric value",,,,,,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.CMPA.HN.MD",,"Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using median)",,"Ratio of the wages of hospital nurse within the reference country to the global median for the same category.","Numeric value",,,,,,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.CMPA.HN.SM",,"Cross-country public sector pay comparison ratio, by occupation: Hospital nurse (using mean)",,"Ratio of the wages of hospital nurse within the reference country to the global mean for the same category.","Numeric value",,,,,,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.PWK.CMPA.JU.MD",,"Cross-country public sector pay comparison ratio, by occupation: Judge (using median)",,"Ratio of the wages of judges within the reference country to the global median for the same category.","Numeric value",,,,,,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
